Time,Temperature,,
22:35:40,171,,Width about 19 cm
22:35:45,189,,
22:35:50,194,,
22:35:55,198,,
22:36:25,196,,
22:36:35,194,,
22:36:45,192,,
22:36:50,190,,
22:37:00,189,,
22:37:05,187,,
22:37:10,185,,
22:37:20,183,,
22:37:25,181,,
22:37:40,180,,
22:37:50,178,Shifted stuff,
22:38:35,172,,
22:38:45,171,,
22:39:10,169,,
22:39:35,167,,
22:40:05,165,,
22:40:35,163,,
22:41:10,162,,
22:41:50,160,,
22:42:35,158,,
22:43:20,156,,
22:44:05,154,,
22:44:55,153,,
22:45:50,151,,
22:46:45,149,,
22:47:40,147,,
22:48:40,145,,
22:49:40,144,,
22:50:50,142,,
22:51:55,140,,
22:53:10,138,,
22:54:30,136,,
22:56:10,135,,
22:58:25,133,,
23:01:20,131,,
23:04:55,131,,
